db1,db2,sim
phenolexplorer,tipdb,28.07
phenolexplorer,unpd,52.20
phenolexplorer,zinc_np,25.75
pubchem_np,chebi_np,16.69
pubchem_np,cmaup,18.96
pubchem_np,foodb,17.54
pubchem_np,gnps,28.71
pubchem_np,ibs_np,32.36
pubchem_np,npass,27.80
pubchem_np,npedia,16.52
pubchem_np,supernatural2,43.13
pubchem_np,tcmdb_taiwan,18.84
pubchem_np,tcmid,10.80
pubchem_np,unpd,38.03
pubchem_np,zinc_np,16.01
respect,chebi_np,11.06
respect,foodb,12.92
respect,npass,10.28
respect,supernatural2,10.91
respect,unpd,10.99
sancdb,chebi_np,19.58
sancdb,chemspider_np,88.44
sancdb,cmaup,19.10
sancdb,npass,39.81
sancdb,supernatural2,67.09
sancdb,tcmdb_taiwan,23.92
sancdb,tcmid,13.48
sancdb,unpd,79.94
sancdb,zinc_np,22.63
specsnp,analyticon_np,12.62
specsnp,chebi_np,22.15
specsnp,cmaup,25.23
specsnp,foodb,15.70
specsnp,gnps,14.90
specsnp,ibs_np,12.75
specsnp,npass,30.87
specsnp,npedia,12.62
specsnp,pubchem_np,12.21
specsnp,supernatural2,59.46
specsnp,tcmdb_taiwan,30.20
specsnp,tcmid,16.24
specsnp,tipdb,15.70
specsnp,tppt,10.07
specsnp,unpd,45.23
specsnp,zinc_np,92.35
spektraris,cmaup,30.24
spektraris,npass,20.16
spektraris,supernatural2,35.48
spektraris,tcmdb_taiwan,60.48
spektraris,tcmid,24.19
spektraris,unpd,15.32
spektraris,zinc_np,46.37
streptomedb,chemspider_np,53.76
streptomedb,npass,14.01
streptomedb,npatlas,20.78
streptomedb,npedia,21.53
streptomedb,supernatural2,24.22
streptomedb,unpd,29.49
supernatural2,unpd,38.31
swmd,cmaup,11.11
swmd,npass,23.40
swmd,supernatural2,65.01
swmd,unpd,71.63
tcmdb_taiwan,cmaup,14.61
tcmdb_taiwan,npass,11.01
tcmdb_taiwan,supernatural2,41.98
tcmdb_taiwan,tcmid,13.60
tcmdb_taiwan,unpd,34.73
tcmdb_taiwan,zinc_np,41.21
tcmid,chebi_np,16.30
